Timestamp,Dataset,p,Experiment,k,Steps,Samples,Greedy_Obj,FW_Obj,Ratio,Greedy_Time_s,FW_Time_s,Speedup_x,Status
2026-01-27 16:54:45,Residential,103,dense_k,1,800,100,67.5649,67.3802,0.9973,0.0011,0.4862,0.0022,DONE
2026-01-27 16:54:45,Residential,103,dense_k,5,800,100,85.1335,72.9786,0.8572,0.0056,0.4308,0.0131,DONE
2026-01-27 16:54:45,Residential,103,dense_k,10,800,100,94.3341,89.4919,0.9487,0.0112,0.4490,0.0249,DONE
2026-01-27 17:12:15,Synthetic,1000,dense_k,10,800,100,500.5694,152.9158,0.3055,0.1122,5.7888,0.0194,DONE
2026-01-27 17:12:22,Synthetic,1000,dense_k,50,800,100,996.4655,996.0387,0.9996,1.5157,5.9121,0.2564,DONE
2026-01-27 17:12:34,Synthetic,1000,dense_k,100,800,100,997.2171,996.8628,0.9996,6.0730,5.7072,1.0641,DONE
2026-01-27 17:14:09,Synthetic,1000,dense_k,10,800,100,500.6422,154.1020,0.3078,0.1143,5.9790,0.0191,DONE
2026-01-27 17:14:17,Synthetic,1000,dense_k,50,800,100,996.5402,996.3314,0.9998,2.2444,5.7803,0.3883,DONE
2026-01-27 17:14:29,Synthetic,1000,dense_k,100,800,100,997.2804,997.1390,0.9999,6.0277,5.6093,1.0746,DONE
2026-01-27 17:14:51,Synthetic,1000,dense_k,150,800,100,997.6309,997.5089,0.9999,15.9856,5.5910,2.8591,DONE
2026-01-27 17:15:29,Synthetic,1000,dense_k,200,800,100,997.8924,997.8261,0.9999,32.9438,5.5688,5.9158,DONE
2026-01-27 17:17:10,Synthetic,1000,dense_k,300,800,100,998.3116,998.2676,1.0000,94.8439,5.6351,16.8309,DONE
2026-01-27 17:20:47,Synthetic,1000,dense_k,400,800,100,998.6637,998.6310,1.0000,211.3541,5.7224,36.9345,DONE
2026-01-27 17:38:13,Mnist,639,dense_k,6,800,100,91.0807,55.5644,0.6101,0.0397,2.4954,0.0159,DONE
2026-01-27 17:38:16,Mnist,639,dense_k,30,800,100,251.2205,242.6375,0.9658,0.3605,2.4988,0.1443,DONE
2026-01-27 17:38:19,Mnist,639,dense_k,60,800,100,359.1828,355.5837,0.9900,1.2453,2.6493,0.4700,DONE
2026-01-27 17:38:25,Mnist,639,dense_k,90,800,100,429.5847,424.1752,0.9874,2.9769,2.5128,1.1847,DONE
2026-01-27 17:38:33,Mnist,639,dense_k,120,800,100,479.2712,473.1434,0.9872,5.7520,2.4674,2.3312,DONE
2026-01-27 17:41:59,Mnist,639,dense_k,6,1000,50,91.0807,80.8413,0.8876,0.0439,5.8839,0.0075,DONE
2026-01-27 17:42:02,Mnist,639,dense_k,30,1000,50,251.2205,246.4346,0.9809,0.3851,2.5668,0.1500,DONE
2026-01-27 17:42:05,Mnist,639,dense_k,60,1000,50,359.1828,354.3236,0.9865,1.1775,2.5997,0.4529,DONE
2026-01-27 17:42:11,Mnist,639,dense_k,90,1000,50,429.5847,426.0485,0.9918,2.8077,2.5680,1.0933,DONE
2026-01-27 17:42:19,Mnist,639,dense_k,120,1000,50,479.2712,473.7228,0.9884,5.4082,2.5285,2.1389,DONE
2026-01-27 19:11:50,Madelon,500,dense_k,5,1000,50,20.5391,20.3808,0.9923,0.0258,3.7945,0.0068,DONE
2026-01-27 19:11:52,Madelon,500,dense_k,25,1000,50,44.4892,44.4076,0.9982,0.2042,1.5544,0.1314,DONE
2026-01-27 19:11:54,Madelon,500,dense_k,50,1000,50,73.8241,73.5267,0.9960,0.7014,1.5520,0.4520,DONE
2026-01-27 19:11:57,Madelon,500,dense_k,75,1000,50,102.5957,102.1928,0.9961,1.5566,1.5446,1.0077,DONE
2026-01-27 19:12:01,Madelon,500,dense_k,100,1000,50,130.7953,130.1233,0.9949,2.9668,1.5517,1.9120,DONE
2026-01-27 19:18:48,Synthetic_toeplitz,500,dense_k,5,1000,50,54.2828,52.8784,0.9741,0.0252,3.7763,0.0067,DONE
2026-01-27 19:33:50,Synthetic_toeplitz,500,dense_k,5,1000,50,53.6271,52.2542,0.9744,0.0252,3.6607,0.0069,DONE
2026-01-27 19:33:52,Synthetic_toeplitz,500,dense_k,25,1000,50,232.1416,224.8210,0.9685,0.2020,1.5345,0.1316,DONE
2026-01-27 19:33:54,Synthetic_toeplitz,500,dense_k,50,1000,50,342.1795,338.7483,0.9900,0.6946,1.5339,0.4528,DONE
2026-01-27 19:33:57,Synthetic_toeplitz,500,dense_k,75,1000,50,394.2345,390.9942,0.9918,1.5434,1.5386,1.0032,DONE
2026-01-27 19:34:02,Synthetic_toeplitz,500,dense_k,100,1000,50,422.3927,421.2167,0.9972,2.9277,1.5524,1.8859,DONE
