Timestamp,Dataset,p,Critical_k,Speedup_At_k
2026-01-25 19:25:04,Secom_p350,350,87,2.1884
2026-01-25 19:25:05,Secom_p350,350,43,0.5545
2026-01-25 19:25:07,Secom_p350,350,65,1.1840
2026-01-25 19:25:08,Secom_p350,350,54,0.8368
2026-01-25 19:25:09,Secom_p350,350,59,0.9768
2026-01-25 19:25:17,Secom_p375,375,188,10.8044
2026-01-25 19:25:20,Secom_p375,375,94,2.4608
2026-01-25 19:25:21,Secom_p375,375,47,0.6093
2026-01-25 19:25:23,Secom_p375,375,70,1.3029
2026-01-25 19:25:24,Secom_p375,375,58,0.8894
2026-01-25 19:25:26,Secom_p375,375,64,1.0638
2026-01-25 19:25:27,Secom_p375,375,61,0.9752
2026-01-25 19:25:37,Secom_p400,400,200,13.5843
2026-01-25 19:25:40,Secom_p400,400,100,2.9818
2026-01-25 19:25:42,Secom_p400,400,50,0.7232
2026-01-25 19:25:43,Secom_p400,400,75,1.6099
2026-01-25 19:25:45,Secom_p400,400,62,1.0815
2026-01-25 19:25:46,Secom_p400,400,56,0.8895
2026-01-25 19:25:48,Secom_p400,400,59,0.9803
2026-01-25 19:26:01,Secom_p425,425,213,12.9892
2026-01-25 19:26:04,Secom_p425,425,106,2.7815
2026-01-25 19:26:06,Secom_p425,425,53,0.6583
2026-01-25 19:26:08,Secom_p425,425,79,1.4801
2026-01-25 19:26:10,Secom_p425,425,66,0.9960
2026-01-25 19:26:26,Secom_p450,450,225,14.9014
2026-01-25 19:26:31,Secom_p450,450,112,3.1617
2026-01-25 19:26:32,Secom_p450,450,56,0.7219
2026-01-25 19:26:35,Secom_p450,450,84,1.6676
2026-01-25 19:26:37,Secom_p450,450,70,1.1582
2026-01-25 19:26:39,Secom_p450,450,63,0.9040
2026-01-25 19:26:41,Secom_p450,450,66,0.9949
2026-01-25 19:27:01,Secom_p475,475,238,16.4785
2026-01-25 19:27:06,Secom_p475,475,119,3.4728
2026-01-25 19:27:08,Secom_p475,475,59,0.7601
2026-01-25 19:27:11,Secom_p475,475,89,1.8167
2026-01-25 19:27:13,Secom_p475,475,74,1.2181
2026-01-25 19:27:16,Secom_p475,475,66,0.9502
2026-01-25 19:53:21,Residential_p50,50,25,0.2500
2026-01-25 19:53:21,Residential_p50,50,38,0.3730
2026-01-25 19:53:21,Residential_p50,50,44,0.4287
2026-01-25 19:53:21,Residential_p50,50,47,0.4447
2026-01-25 19:53:21,Residential_p50,50,49,0.4548
2026-01-25 19:53:21,Residential_p50,50,50,0.4587
2026-01-25 19:53:21,Residential_p75,75,38,0.5027
2026-01-25 19:53:21,Residential_p75,75,57,0.8090
2026-01-25 19:53:22,Residential_p75,75,66,0.8898
2026-01-25 19:53:22,Residential_p75,75,71,0.9265
2026-01-25 19:53:22,Residential_p75,75,73,0.9443
2026-01-25 19:53:22,Residential_p75,75,74,0.9486
2026-01-25 19:53:22,Residential_p75,75,75,0.9468
2026-01-25 19:53:23,Residential_p100,100,50,0.9730
2026-01-25 19:53:28,Secom_p50,50,25,0.2798
2026-01-25 19:53:28,Secom_p50,50,38,0.4227
2026-01-25 19:53:28,Secom_p50,50,44,0.4467
2026-01-25 19:53:28,Secom_p50,50,47,0.4503
2026-01-25 19:53:29,Secom_p50,50,49,0.4584
2026-01-25 19:53:29,Secom_p50,50,50,0.4671
2026-01-25 19:53:29,Secom_p75,75,38,0.5041
2026-01-25 19:53:29,Secom_p75,75,57,0.8327
2026-01-25 19:53:29,Secom_p75,75,66,0.9267
2026-01-25 19:53:29,Secom_p75,75,71,0.9622
2026-01-25 19:53:30,Secom_p100,100,50,0.9497
2026-01-25 19:53:30,Secom_p100,100,75,1.6102
2026-01-25 19:53:30,Secom_p100,100,62,1.2701
2026-01-25 19:53:30,Secom_p100,100,56,1.1063
2026-01-25 19:53:30,Secom_p100,100,53,1.0305
2026-01-25 19:53:31,Secom_p125,125,63,1.4823
2026-01-25 19:53:31,Secom_p125,125,31,0.4919
2026-01-25 19:53:31,Secom_p125,125,47,0.9381
2026-01-25 19:53:32,Secom_p125,125,55,1.1981
2026-01-25 19:53:32,Secom_p125,125,51,1.0695
2026-01-25 19:53:32,Secom_p125,125,49,0.9940
2026-01-25 19:53:33,Secom_p150,150,75,2.0271
2026-01-25 19:53:33,Secom_p150,150,37,0.6329
2026-01-25 19:53:33,Secom_p150,150,56,1.2443
2026-01-25 19:53:34,Secom_p150,150,46,0.9007
2026-01-25 19:53:34,Secom_p150,150,51,1.0647
2026-01-25 19:53:34,Secom_p150,150,48,0.9745
2026-01-25 19:53:35,Secom_p175,175,88,2.6953
2026-01-25 19:53:35,Secom_p175,175,44,0.8092
2026-01-25 19:53:36,Secom_p175,175,66,1.6185
