2026-01-26 20:41:44,Residential,103,103,1153,,,1.0000
2026-01-26 20:41:50,Residential,103,103,1294,,,1.0000
2026-01-26 20:41:57,Residential,103,102,1435,,,1.0000
2026-01-26 20:42:03,Residential,103,97,1576,,,1.0000
2026-01-26 20:42:11,Residential,103,103,1717,,,1.0000
2026-01-26 20:42:19,Residential,103,102,1858,,,1.0000
2026-01-26 20:42:27,Residential,103,103,2000,,,1.0000
2026-01-26 20:42:31,Residential,103,42,25,,,1.0001
2026-01-26 20:42:31,Residential,103,52,166,,,1.0000
2026-01-26 20:42:32,Residential,103,78,307,,,1.0000
2026-01-26 20:42:35,Residential,103,103,448,,,1.0000
2026-01-26 20:42:39,Residential,103,103,589,,,1.0000
2026-01-26 20:42:43,Residential,103,100,730,,,1.0000
2026-01-26 20:42:47,Residential,103,100,871,,,1.0000
2026-01-26 20:42:52,Residential,103,100,1012,,,1.0000
2026-01-26 20:42:58,Residential,103,103,1153,,,1.0000
2026-01-26 20:43:03,Residential,103,103,1294,,,1.0000
2026-01-26 20:43:09,Residential,103,103,1435,,,1.0000
2026-01-26 20:43:16,Residential,103,103,1576,,,1.0000
2026-01-26 20:43:24,Residential,103,102,1717,,,1.0000
2026-01-26 20:43:29,Residential,103,53,25,800,,1.0000
2026-01-26 20:43:30,Residential,103,65,166,800,,1.0000
2026-01-26 20:43:31,Residential,103,91,307,800,,1.0000
2026-01-26 20:43:32,Residential,103,100,1858,,,1.0000
2026-01-26 20:43:35,Residential,103,100,448,800,,1.0000
2026-01-26 20:43:39,Residential,103,97,589,800,,1.0000
2026-01-26 20:43:42,Residential,103,100,2000,,,1.0000
2026-01-26 20:43:43,Residential,103,103,730,800,,1.0000
2026-01-26 20:43:48,Residential,103,103,871,800,,1.0000
2026-01-26 20:43:53,Residential,103,91,1012,800,,1.0000
2026-01-26 20:43:58,Residential,103,103,1153,800,,1.0000
2026-01-26 20:44:04,Residential,103,103,1294,800,,1.0000
2026-01-26 20:44:10,Residential,103,102,1435,800,,1.0000
2026-01-26 20:44:17,Residential,103,102,1576,800,,1.0000
2026-01-26 20:44:24,Residential,103,102,1717,800,,1.0000
2026-01-26 20:44:31,Residential,103,102,1858,800,,1.0000
2026-01-26 20:44:40,Residential,103,102,2000,800,,1.0000
2026-01-26 20:44:44,Residential,103,40,25,800,,0.9999
2026-01-26 20:44:45,Residential,103,61,166,800,,1.0000
2026-01-26 20:44:46,Residential,103,78,307,800,,1.0000
2026-01-26 20:44:49,Residential,103,103,448,800,,1.0000
2026-01-26 20:44:52,Residential,103,103,589,800,,1.0000
2026-01-26 20:44:56,Residential,103,102,730,800,,1.0000
2026-01-26 20:45:01,Residential,103,103,871,800,,1.0000
2026-01-26 20:45:06,Residential,103,103,1012,800,,1.0000
2026-01-26 20:45:11,Residential,103,103,1153,800,,1.0000
2026-01-26 20:45:17,Residential,103,103,1294,800,,1.0000
2026-01-26 20:45:23,Residential,103,102,1435,800,,1.0000
2026-01-26 20:45:29,Residential,103,91,1576,800,,1.0000
2026-01-26 20:45:37,Residential,103,100,1717,800,,1.0000
2026-01-26 20:45:44,Residential,103,102,1858,800,,1.0000
2026-01-26 20:45:53,Residential,103,102,2000,800,,1.0000
2026-01-26 20:45:56,Residential,103,42,25,800,,0.9993
