Timestamp,Dataset,p,k,Speedupx,Ratio,Steps,Samples,Run_ID
2026-02-03 14:43:40,Residential,76,7,0.02027526004186152,0.9614820943099501,1000,50,2
2026-02-03 14:43:41,Residential,76,11,0.03343121203144315,0.9760714305475958,1000,50,2
2026-02-03 14:43:41,Residential,76,15,0.04678546429545967,0.9924608279843998,1000,50,2
2026-02-03 14:43:41,Residential,76,19,0.06303691575961128,0.9936044452958073,1000,50,2
2026-02-03 14:43:42,Residential,76,22,0.07729706438294141,0.9942041941145927,1000,50,2
2026-02-03 14:43:42,Residential,89,8,0.026203779260717812,0.9482932140010719,1000,50,2
2026-02-03 14:43:42,Residential,89,13,0.04393891794331615,0.997262996757247,1000,50,2
2026-02-03 14:43:43,Residential,89,17,0.06505439196961374,0.9969440972511692,1000,50,2
2026-02-03 14:43:43,Residential,89,22,0.08755678414536741,0.9984634476111718,1000,50,2
2026-02-03 14:43:43,Residential,89,26,0.10927862883941933,0.99550131375289,1000,50,2
2026-02-03 14:43:44,Residential,103,10,0.03447087163294769,0.9502602790953736,1000,50,2
2026-02-03 14:43:44,Residential,103,15,0.05492540775725377,0.9989352250223695,1000,50,2
2026-02-03 14:43:44,Residential,103,20,0.17625012155558983,0.9943985255228134,1000,50,2
2026-02-03 14:43:45,Residential,103,25,0.11664326829644249,0.9873060781779056,1000,50,2
2026-02-03 14:43:45,Residential,103,30,0.15520138027225056,0.9955261465295432,1000,50,2
